#Depth	Raw_Count	Unique_Kmers
339	5706575	16834
340	5624213	16542
341	5531034	16220
342	5447747	15929
343	5543580	16162
344	5519561	16045
345	5467605	15848
346	5443154	15732
347	5408801	15587
348	5438327	15627
349	5399924	15473
350	5328614	15225
351	5251513	14962
352	5222398	14836
353	5187129	14694
354	5291778	14949
355	5275612	14861
356	5205701	14623
357	5148553	14422
358	5145072	14372
359	5071511	14127
360	5168564	14357
361	5186721	14368
362	5120744	14146
363	5142029	14165
364	5058135	13896
365	5041493	13812
366	5080022	13880
367	5008455	13647
368	4988703	13556
369	5027842	13626
370	4969471	13431
371	4983766	13433
372	4870329	13092
373	4997547	13398
374	4902933	13109
375	4808843	12824
376	4871566	12956
377	4794410	12717
378	4791062	12675
379	4867138	12842
380	4746054	12490
381	4675295	12271
382	4736315	12399
383	4754724	12414
384	4645287	12097
385	4652146	12083
386	4652889	12054
387	4601323	11890
388	4572930	11786
389	4572470	11754
390	4627577	11866
391	4645972	11882
392	4510594	11507
393	4497502	11444
394	4519236	11470
395	4508101	11413
396	4582282	11571
397	4532293	11416
398	4481666	11260
399	4460340	11179
400	4523412	11309
401	4367192	10891
402	4407051	10963
403	4404796	10930
404	4318902	10690
405	4447672	10982
406	4323511	10649
407	4312786	10597
408	4225588	10357
409	4184451	10231
410	4223042	10300
411	4249939	10340
412	4189903	10170
413	4227898	10237
414	4148569	10021
415	4124168	9938
416	4190050	10072
417	4160638	9978
418	4191527	10028
419	4187271	9993
420	4144356	9868
421	4141532	9837
422	4048619	9594
423	4093157	9676
424	4090393	9647
425	4116199	9685
426	4087760	9596
427	3970633	9299
428	3986949	9315
429	4058013	9459
430	3924650	9127
431	3959161	9186
432	3971845	9194
433	3920544	9054
434	3928010	9051
435	3895830	8956
436	3892327	8927
437	3820051	8742
438	3915863	8940
439	3924685	8940
440	3810501	8660
441	3789220	8592
442	3849466	8709
443	3871744	8740
444	3879196	8737
445	3846360	8644
446	3815458	8555
447	3798414	8498
448	3745728	8361
449	3774885	8407
450	3853073	8562
451	3703152	8211
452	3768668	8338
453	3680081	8124
454	3677979	8101
455	3710637	8155
456	3678512	8067
457	3713737	8126
458	3707262	8094
459	3690706	8041
460	3598502	7823
461	3614687	7841
462	3623696	7843
463	3590075	7754
464	3580899	7717
465	3551060	7637
466	3505008	7521
467	3563101	7630
468	3573334	7635
469	3567269	7606
470	3563302	7581
471	3501648	7434
472	3548339	7518
473	3550870	7507
474	3552001	7494
475	3467370	7300
476	3498136	7349
477	3424330	7179
478	3420622	7156
479	3475281	7255
480	3419433	7124
481	3429447	7130
482	3436965	7131
483	3402129	7044
484	3400467	7026
485	3367695	6944
486	3347184	6887
487	3303399	6783
488	3317438	6798
489	3310941	6771
490	3268763	6671
491	3279848	6680
492	3289750	6686
493	3329136	6753
494	3317903	6716
495	3285464	6637
496	3336995	6728
497	3292655	6625
498	3310293	6647
499	3254127	6521
500	3281636	6563
501	3330167	6647
502	3172421	6320
503	3280521	6522
504	3270600	6489
505	3258481	6452
506	3202799	6330
507	3188784	6290
508	3208837	6317
509	3199013	6285
510	3133335	6144
511	3150814	6166
512	3164530	6181
513	3175106	6189
514	3078574	5989
515	3146324	6109
516	3071151	5952
517	3111460	6018
518	3087826	5961
519	3125363	6022
520	2990705	5751
521	3012325	5782
522	3015872	5778
523	2995469	5727
524	3056970	5834
525	3027735	5767
526	2977051	5660
527	3012871	5717
528	2953578	5594
529	2989842	5652
530	3015438	5690
531	2965950	5586
532	2927265	5502
533	2941143	5518
534	2956039	5536
535	2874292	5373
536	2974470	5549
537	2891591	5385
538	2906341	5402
539	2889120	5360
540	2942272	5449
541	2915188	5389
542	2985443	5508
543	2872022	5289
544	2875102	5285
545	2842151	5215
546	2862569	5243
547	2864796	5237
548	2766137	5048
549	2885092	5255
550	2809512	5108
551	2875533	5219
552	2810099	5091
553	2859294	5171
554	2792299	5040
555	2795833	5038
556	2794979	5027
557	2788710	5007
558	2851506	5110
559	2774196	4963
560	2775968	4957
561	2803597	4997
562	2754956	4902
563	2810760	4992
564	2715614	4815
565	2749775	4867
566	2721152	4808
567	2754634	4858
568	2752970	4847
569	2704474	4753
570	2654175	4656
571	2782542	4873
572	2740079	4790
573	2692995	4700
574	2733696	4763
575	2664310	4634
576	2681843	4656
577	2648205	4590
578	2642976	4573
579	2626043	4535
580	2574040	4438
581	2623579	4516
582	2577794	4429
583	2668826	4578
584	2662662	4559
585	2684991	4590
586	2631110	4490
587	2675272	4558
588	2542628	4324
589	2513330	4267
590	2658420	4506
591	2624552	4441
592	2512160	4244
593	2588493	4365
594	2600144	4377
595	2538054	4266
596	2604930	4371
597	2607721	4368
598	2608317	4362
599	2514829	4198
600	2469940	4117
601	2567474	4272
602	2493855	4143
603	2492881	4134
604	2454802	4064
605	2487007	4111
606	2526411	4169
607	2514199	4142
608	2509428	4127
609	2477934	4069
610	2516659	4126
611	2448573	4007
612	2469598	4035
613	2543286	4149
614	2462073	4010
615	2465508	4009
616	2423753	3935
617	2399639	3889
618	2422437	3920
619	2443319	3947
620	2410842	3888
621	2449964	3945
622	2318257	3727
623	2441732	3919
624	2443494	3916
625	2453777	3926
626	2362481	3774
627	2347436	3744
628	2459062	3916
629	2430676	3864
630	2365387	3755
631	2349891	3724
632	2379750	3765
633	2381573	3762
634	2322247	3663
635	2350670	3702
636	2389687	3757
637	2269106	3562
638	2374764	3722
639	2307971	3612
640	2291018	3580
641	2346016	3660
642	2339689	3644
643	2331476	3626
644	2318395	3600
645	2339842	3628
646	2275799	3523
647	2320644	3587
648	2285997	3528
649	2362945	3641
650	2307522	3550
651	2269189	3486
652	2241343	3438
653	2266148	3470
654	2233970	3416
655	2300150	3512
656	2298569	3504
657	2251345	3427
658	2173568	3303
659	2225689	3377
660	2188789	3316
661	2148625	3251
662	2197367	3319
663	2186185	3297
664	2222308	3347
665	2169630	3263
666	2197760	3300
667	2287295	3429
668	2164712	3241
669	2083041	3114
670	2200698	3285
671	2126758	3170
672	2171541	3231
673	2212285	3287
674	2129492	3159
675	2106076	3120
676	2081101	3079
677	2052934	3032
678	2138507	3154
679	2099839	3093
680	2112191	3106
681	2083390	3059
682	2187850	3208
683	2064057	3022
684	2091240	3057
685	2075049	3029
686	2123525	3096
687	2146379	3124
688	2086067	3032
689	2142393	3109
690	2020922	2929
691	2091216	3026
692	2081886	3009
693	2056102	2967
694	2042257	2943
695	2096583	3017
696	1964532	2823
697	2073192	2974
698	2019890	2894
699	2050391	2933
700	2066831	2953
701	2053767	2930
702	2034501	2898
703	2119065	3014
704	2029483	2883
705	2083162	2955
706	2059943	2918
707	2073505	2933
708	2107086	2976
709	2041019	2879
710	2040153	2873
711	1988392	2797
712	1968320	2764
713	1995170	2798
714	1907371	2671
715	2004755	2804
716	1968896	2750
717	2046925	2855
718	1958773	2728
719	1957448	2722
720	1929337	2680
721	1995730	2768
722	1967807	2725
723	1918666	2654
724	1953202	2698
725	1898466	2619
726	1884650	2596
727	1961979	2699
728	1953843	2684
729	1936627	2657
730	1931111	2645
731	1893307	2590
732	1883155	2573
733	1911083	2607
734	1883415	2566
735	1967297	2677
736	1917285	2605
737	1864165	2529
738	1865284	2527
739	1872728	2534
740	1895754	2562
741	1918921	2590
742	1927073	2597
743	1912150	2574
744	1825702	2454
745	1901994	2553
746	1880912	2521
747	1937108	2593
748	1818646	2431
749	1892384	2527
750	1901885	2536
751	1870238	2490
752	1844284	2453
753	1840235	2444
754	1826250	2422
755	1895237	2510
756	1909276	2525
757	1827541	2414
758	1863204	2458
759	1807848	2382
760	1791160	2357
761	1789443	2351
762	1817097	2385
763	1785154	2340
764	1785959	2338
765	1787159	2336
766	1843563	2407
767	1812656	2363
768	1773199	2309
769	1745852	2270
770	1797117	2334
771	1793200	2326
772	1764675	2286
773	1786707	2311
774	1806140	2334
775	1810409	2336
776	1814369	2338
777	1747230	2249
778	1764442	2268
779	1838622	2360
780	1772367	2272
781	1730069	2215
782	1739027	2224
783	1726933	2206
784	1776256	2266
785	1815608	2313
786	1799858	2290
787	1758662	2235
788	1731795	2198
789	1713904	2172
790	1732685	2193
791	1726608	2183
792	1664246	2101
793	1765158	2226
794	1732855	2182
795	1746463	2197
796	1742492	2189
797	1724999	2164
798	1767490	2215
799	1736191	2173
800	1775946	2220
801	1639237	2046
802	1662134	2072
803	1622204	2020
804	1751921	2179
805	1695789	2107
806	1687441	2094
807	1651982	2047
808	1612533	1996
809	1626215	2010
810	1668880	2060
811	1675990	2067
812	1698100	2091
813	1677627	2064
814	1666250	2047
815	1631119	2001
816	1588484	1947
817	1718597	2104
818	1628328	1991
819	1627863	1988
820	1648324	2010
821	1685539	2053
822	1692813	2059
823	1618923	1967
824	1610289	1954
825	1603676	1944
826	1669922	2022
827	1637130	1980
828	1652615	1996
829	1584925	1912
830	1616275	1947
831	1697775	2043
832	1636678	1967
833	1571662	1887
834	1590078	1907
835	1571978	1883
836	1622097	1940
837	1584347	1893
838	1584726	1891
839	1589189	1894
840	1649376	1964
841	1549941	1843
842	1600711	1901
843	1562489	1853
844	1611510	1909
845	1571292	1860
846	1603359	1895
847	1557014	1838
848	1537346	1813
849	1553986	1830
850	1552332	1826
851	1505607	1769
852	1503520	1765
853	1587214	1861
854	1554133	1820
855	1519538	1777
856	1571506	1836
857	1540639	1798
858	1560311	1819
859	1522401	1772
860	1523494	1772
861	1549237	1799
862	1605603	1863
863	1508410	1748
864	1510259	1748
865	1504735	1740
866	1541045	1779
867	1513700	1746
868	1515905	1746
869	1517656	1746
870	1526152	1754
871	1497301	1719
872	1545400	1772
873	1485801	1702
874	1552938	1777
875	1566963	1791
876	1404855	1604
877	1500275	1711
878	1502278	1711
879	1488039	1693
880	1494132	1698
881	1440779	1635
882	1495793	1696
883	1544875	1750
884	1432218	1620
885	1502013	1697
886	1488197	1680
887	1501930	1693
888	1454703	1638
889	1517106	1707
890	1504313	1690
891	1550240	1740
892	1507502	1690
893	1541445	1726
894	1486286	1663
895	1493261	1668
896	1484728	1657
897	1454598	1622
898	1437776	1601
899	1424064	1584
900	1428523	1587
901	1454606	1614
902	1488121	1650
903	1505003	1667
904	1436501	1589
905	1432973	1583
906	1435553	1584
907	1396248	1539
908	1458377	1606
909	1401816	1542
910	1423090	1564
911	1463071	1606
912	1452986	1593
913	1439527	1577
914	1424820	1559
915	1445269	1580
916	1394068	1522
917	1415174	1543
918	1459435	1590
919	1468746	1598
920	1391881	1513
921	1422442	1544
922	1382829	1500
923	1427448	1547
924	1477544	1599
925	1419834	1535
926	1449323	1565
927	1459570	1575
928	1418414	1528
929	1397147	1504
930	1384248	1488
931	1443717	1551
932	1410056	1513
933	1318945	1414
934	1429226	1530
935	1359258	1454
936	1350164	1442
937	1429649	1526
938	1382349	1474
939	1388859	1479
940	1311342	1395
941	1424076	1513
942	1339289	1422
943	1373740	1457
944	1375205	1457
945	1397300	1479
946	1360045	1438
947	1408285	1487
948	1337050	1410
949	1409138	1485
950	1355242	1427
951	1314547	1382
952	1366927	1436
953	1312168	1377
954	1296567	1359
955	1334014	1397
956	1365899	1429
957	1370333	1432
958	1349011	1408
959	1306156	1362
960	1450831	1511
961	1331724	1386
962	1313347	1365
963	1322073	1373
964	1227069	1273
965	1331420	1380
966	1348050	1395
967	1282927	1327
968	1371697	1417
969	1361359	1405
970	1314492	1355
971	1327776	1367
972	1340730	1379
973	1289308	1325
974	1360427	1397
975	1366529	1402
976	1332834	1366
977	1324837	1356
978	1276281	1305
979	1363395	1393
980	1255642	1281
981	1297273	1322
982	1249618	1273
983	1286126	1308
984	1289199	1310
985	1292015	1312
986	1287906	1306
987	1282863	1300
988	1356391	1373
989	1311956	1327
990	1241436	1254
991	1302514	1314
992	1270916	1281
993	1243553	1252
994	1302203	1310
995	1213647	1220
996	1299090	1304
997	1295598	1299
998	1232931	1235
999	1248329	1250
1000	1272094	1272
1001	1230309	1229
1002	1279223	1277
1003	1321504	1318
1004	1298144	1293
1005	1196982	1191
1006	1231239	1224
1007	1276113	1267
1008	1282872	1273
1009	1303805	1292
1010	1263646	1251
1011	1251340	1238
1012	1252490	1238
1013	1241453	1226
1014	1248802	1232
1015	1228774	1211
1016	1259350	1240
1017	1241476	1221
1018	1243239	1221
1019	1348836	1324
1020	1226827	1203
1021	1276591	1250
1022	1256628	1230
1023	1256960	1229
1024	1205423	1177
1025	1198944	1170
1026	1230786	1200
1027	1235889	1203
1028	1166449	1135
1029	1287649	1251
1030	1208960	1174
1031	1195465	1160
1032	1281100	1241
1033	1228744	1189
1034	1212004	1172
1035	1243043	1201
1036	1276239	1232
1037	1152538	1111
1038	1214189	1170
1039	1159774	1116
1040	1212112	1165
1041	1194682	1148
1042	1264034	1213
1043	1252610	1201
1044	1226299	1175
1045	1240148	1187
1046	1180621	1129
1047	1203314	1149
1048	1195722	1141
1049	1257633	1199
1050	1144114	1090
1051	1172449	1116
1052	1207918	1148
1053	1204762	1144
1054	1202179	1141
1055	1140712	1081
1056	1055268	999
1057	1157126	1095
1058	1113143	1052
1059	1171058	1106
1060	1163018	1097
1061	1163843	1097
1062	1126264	1061
1063	1131174	1064
1064	1136875	1068
1065	1105525	1038
1066	1156288	1085
1067	1139702	1068
1068	1130962	1059
1069	1184961	1108
1070	1113405	1041
1071	1136831	1061
1072	1153399	1076
1073	1106690	1031
1074	1165641	1085
1075	1134227	1055
1076	1138834	1058
1077	1146906	1065
1078	1240334	1151
1079	1175941	1090
1080	1200963	1112
1081	1058318	979
1082	1152372	1065
1083	1182128	1092
1084	1150251	1061
1085	1105285	1019
1086	1136788	1047
1087	1083090	996
1088	1128743	1037
1089	1147923	1054
1090	1045024	959
1091	1121356	1028
1092	1111129	1018
1093	1021796	935
1094	1102897	1008
1095	1115801	1019
1096	1132451	1033
1097	1063795	970
1098	1091720	994
1099	1030157	937
