#Depth	Raw_Count	Unique_Kmers
336	18519260	55117
337	18409928	54629
338	18340713	54262
339	18328753	54067
340	18356034	53988
341	18335938	53771
342	18145191	53056
343	18247076	53198
344	18031797	52418
345	18344362	53172
346	18272693	52811
347	18210529	52480
348	18117301	52061
349	18206930	52169
350	17914977	51186
351	18211245	51884
352	18047252	51271
353	18060681	51163
354	18161702	51304
355	17946024	50552
356	18011304	50594
357	17831723	49949
358	17792332	49699
359	17738794	49412
360	17729399	49248
361	17673254	48956
362	17572644	48543
363	17513513	48247
364	17479021	48019
365	17264537	47300
366	17427212	47615
367	17132001	46681
368	17175027	46671
369	17008028	46092
370	16896709	45667
371	16866987	45464
372	16664978	44798
373	16488225	44204
374	16621054	44441
375	16510171	44027
376	16367961	43532
377	16399819	43501
378	16297169	43114
379	16216409	42787
380	16044202	42222
381	15936817	41829
382	15963887	41790
383	15812726	41286
384	15852962	41284
385	15842001	41148
386	15789927	40907
387	15893108	41067
388	15730494	40543
389	15780036	40566
390	15708259	40278
391	15529604	39718
392	15602140	39801
393	15473564	39373
394	15516860	39383
395	15390976	38964
396	15352888	38770
397	15456776	38934
398	15297325	38435
399	15360118	38497
400	15229011	38073
401	15135627	37745
402	15256694	37952
403	15016309	37261
404	15121942	37431
405	15039239	37134
406	14919079	36747
407	15106491	37117
408	15071943	36941
409	14941874	36533
410	14947735	36458
411	15019478	36544
412	15058084	36549
413	14894126	36063
414	14867612	35912
415	14848363	35779
416	14852514	35703
417	14800748	35493
418	14715751	35205
419	14698008	35079
420	14470540	34454
421	14562617	34591
422	14624712	34656
423	14606468	34531
424	14523859	34254
425	14487079	34087
426	14401817	33807
427	14320161	33537
428	14436951	33731
429	14292865	33317
430	14243967	33126
431	14211364	32973
432	14312304	33130
433	14336441	33110
434	14291311	32929
435	14230422	32714
436	14134567	32419
437	14244531	32596
438	14304551	32659
439	14090058	32096
440	14043418	31917
441	14051202	31862
442	13841272	31315
443	13961496	31516
444	13873323	31246
445	14050438	31574
446	14030698	31459
447	13932360	31169
448	13875592	30972
449	13693348	30497
450	13775128	30611
451	13574459	30099
452	13715114	30343
453	13688932	30218
454	13607267	29972
455	13535906	29749
456	13513354	29635
457	13552937	29656
458	13531479	29545
459	13575829	29577
460	13400879	29132
461	13390326	29046
462	13247908	28675
463	13310977	28749
464	13173266	28391
465	13317041	28639
466	13231560	28394
467	13089146	28028
468	13131785	28059
469	13259180	28271
470	13099291	27871
471	13169468	27961
472	13028909	27604
473	13151902	27805
474	13124626	27689
475	13124046	27630
476	13014446	27341
477	13032574	27322
478	12784586	26746
479	12882553	26895
480	12841385	26753
481	12716644	26438
482	12781853	26518
483	12811061	26524
484	12787294	26420
485	12804447	26401
486	12723141	26179
487	12656921	25990
488	12771707	26172
489	12655231	25880
490	12624294	25764
491	12500033	25458
492	12552469	25513
493	12577101	25511
494	12520861	25346
495	12393270	25037
496	12349248	24898
497	12375102	24900
498	12510169	25121
499	12380675	24811
500	12346528	24693
501	12298312	24548
502	12237208	24377
503	12324759	24503
504	12269985	24345
505	12240435	24238
506	12224852	24160
507	12062598	23792
508	12240609	24096
509	12136952	23845
510	12010823	23551
511	11929356	23345
512	11961624	23363
513	11911720	23220
514	12024819	23395
515	11812137	22936
516	11811646	22891
517	11882972	22984
518	11712929	22612
519	11828310	22791
520	11777492	22649
521	11707802	22472
522	11787522	22581
523	11734751	22437
524	11652585	22238
525	11575461	22048
526	11495996	21856
527	11575196	21964
528	11564539	21903
529	11655920	22034
530	11459343	21621
531	11579654	21807
532	11319557	21277
533	11350588	21296
534	11331061	21219
535	11384819	21280
536	11355254	21185
537	11260479	20969
538	11257219	20924
539	11083594	20563
540	11212464	20764
541	11186714	20678
542	11165791	20601
543	11064273	20376
544	11169290	20532
545	11198259	20547
546	11415786	20908
547	11191181	20459
548	11069772	20200
549	11055446	20137
550	11070419	20128
551	11145224	20227
552	11026813	19976
553	11131766	20130
554	10993753	19844
555	11141703	20075
556	11025482	19830
557	11006436	19760
558	10960020	19642
559	11025659	19724
560	10847328	19370
561	11006982	19620
562	10787293	19194
563	10940212	19432
564	10854768	19246
565	10888879	19272
566	11010815	19454
567	10932652	19282
568	10831804	19070
569	10872407	19108
570	10820926	18984
571	10777571	18875
572	10781620	18849
573	10619459	18533
574	10829724	18867
575	10901483	18959
576	10727234	18624
577	10649397	18456
578	10616133	18367
579	10559915	18238
580	10482232	18073
581	10384379	17873
582	10480573	18008
583	10587594	18161
584	10522137	18017
585	10497600	17945
586	10432123	17802
587	10460340	17820
588	10362662	17624
589	10436464	17719
590	10485705	17772
591	10341676	17499
592	10307904	17412
593	10173187	17155
594	10340966	17409
595	10250125	17227
596	10445147	17525
597	10269444	17202
598	10343291	17296
599	10240448	17096
600	10007445	16679
601	10304655	17146
602	10266734	17054
603	10220909	16950
604	10216958	16915
605	10305405	17034
606	10270418	16948
607	10248141	16883
608	10172939	16732
609	10255337	16840
610	10188453	16702
611	10251974	16779
612	10090607	16488
613	10117706	16505
614	10085072	16425
615	10055722	16351
616	10065032	16339
617	10048545	16286
618	10268965	16616
619	10211112	16496
620	10088622	16272
621	10129303	16311
622	10014501	16100
623	10142877	16281
624	10156141	16276
625	9996586	15995
626	10054289	16061
627	10088911	16091
628	10135173	16139
629	9881092	15709
630	9934183	15769
631	9947601	15765
632	9785355	15483
633	9836199	15539
634	9838986	15519
635	9762389	15374
636	9802682	15413
637	9756588	15316
638	9966630	15622
639	9859561	15430
640	9830409	15360
641	9666063	15080
642	9646223	15025
643	9768546	15192
644	9640932	14970
645	9508016	14741
646	9627517	14903
647	9485248	14660
648	9692200	14957
649	9662969	14889
650	9554274	14699
651	9641007	14810
652	9666152	14825
653	9638979	14761
654	9492273	14514
655	9690968	14795
656	9465347	14429
657	9667252	14714
658	9432463	14335
659	9395524	14257
660	9479373	14363
